FE24039384;25,24
FE24041244;9,56
FE24038008;26,16
FE24041087;47,19
FE24035360;10,19
FE24036548;14,65
FE24039217;29,35
FE24039230;11,35
FE24035023;18,83
FE24040848;88,84
FE24036616;7,9
FE24041233;16,01
FE24040071;20,5
FE24035771;17,93
FE24039596;24,27
FE24041284;18,92
FE24038400;14,25
FE24040618;12,34
FE24034973;45,7
FE24034915;35,54
FE24040411;16,2
FE24039733;9,85
FE24035616;3,23
FE24039097;73,47
FE24036587;10,31
FE24037909;20,81
FE24035528;22,14
FE24040544;19,84
FE24040847;380,71
FE24035913;8,42
FE24041283;88,08
FE24036148;19,72
FE24040904;6,53
FE24040090;5,4
FE24041097;38,43
FE24034946;9,5
FE24037026;17,93
FE24040541;29,45
FE24039509;22,23
FE24035461;11,11
FE24040112;13,42
FE24039731;17,86
FE24041214;17,62
FE24035420;23,55
FE24037992;17,75
FE24034900;15,79
FE24039228;17,64
FE24035540;11,37
FE24039397;18,72
FE24040480;24,26
FE24035705;23,33
FE24037558;11,31
FE24041051;11,62
FE24040880;33,95
FE24036152;8,77
FE24035754;67,43
FE24036678;8,37
FE24034857;21,93
FE24039100;23,33
FE24038591;19
FE24039964;12,34
FE24040777;12,85
FE24035341;26,45
FE24039440;10,31
FE24041174;14,77
FE24037860;22,11
FE24039563;9,63
FE24041355;22,89
FE24036261;10,78
FE24039395;25,64
FE24037453;20,33
FE24035042;35,65
FE24036020;29,68
FE24037891;25,36
FE24035269;20,84
FE24036659;6,36
FE24039490;21,72
FE24036070;11,74
FE24041428;2,03
FE24034517;9,2
FE24039687;5,66
FE24040499;18,56
FE24039701;16,67
FE24036338;9,97
FE24040374;8,14
FE24039291;22,8
FE24034991;71,97
FE24035086;13,2
FE24038067;21,19
FE24035555;25,35
FE24041227;22,48
FE24039603;6,05
FE24036296;8,25
FE24038584;24,59
FE24035164;20,5
FE24041492;4,68
FE24040885;39,28
FE24040835;12,38
FE24036199;20,33
FE24036263;20,8
FE24041218;26,72
FE24035259;11,56
FE24039696;15,57
FE24039553;22,07
FE24036821;22,64
FE24041140;55,66
FE24034476;42,45
FE24040041;43,79
FE24039866;31
FE24036193;23,74
FE24040476;26,62
FE24040989;28,01
FE24035376;33,18
FE24034716;15,6
FE24039771;10,16
FE24038982;18,05
FE24035275;11,53
FE24034551;111,25
FE24041453;1387,7
FE24036192;15,79
FE24035982;10,51
FE24039317;13,42
FE24040601;12,91
FE24036865;33,71
FE24034469;647,73
FE24039297;33,84
FE24035664;34,1
FE24039227;72,78
FE24041228;41,06
FE24041448;1,89
FE24039086;51,39
FE24035990;15,8
FE24041438;3,32
FE24034898;21,15
FE24039564;8,37
FE24036346;10,08
FE24039426;12,72
FE24041426;11,31
FE24034947;9,45
FE24039570;19,19
FE24036268;21,5
FE24039744;4,44
FE24040145;8,29
FE24040060;48,92
FE24036537;24,68
FE24039147;33,94
FE24035788;19,57
FE24039798;40,45
FE24036729;17,09
FE24041491;1,28
FE24040081;9,35
FE24036492;15,03
FE24035539;11,31
FE24041382;21,5
FE24034541;25,17
FE24034913;23,27
FE24034882;12,39
FE24035571;14,75
